,userId,,company,,role,,location,,startDate,,endDate,
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Carter.DuBuque,"','",Shufflebeat,"','",Teacher,"','",Kute,"','",8/26/1957,"','",10/23/1978,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rosendo.Rogahn,"','",Photospace,"','",VP Quality Control,"','",Jintun,"','",11/21/1920,"','",10/24/1929,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Thea.McClure,"','",Fadeo,"','",Chemical Engineer,"','",El Pino,"','",1/8/2001,"','",5/23/1950,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lukas.Trantow,"','",Skyble,"','",Software Test Engineer IV,"','",Ciranca,"','",7/17/1947,"','",8/4/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mireille,"','",Linkbuzz,"','",Safety Technician I,"','",Angers,"','",6/20/1966,"','",4/26/1996,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Retha_Yundt,"','",Mynte,"','",Operator,"','",Baishi,"','",3/28/1949,"','",7/2/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Dale_Runolfsson,"','",Linklinks,"','",Senior Financial Analyst,"','",Krajan,"','",10/25/1998,"','",7/24/1978,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Garrett,"','",Yodo,"','",Community Outreach Specialist,"','",Guadalupe,"','",1/23/1948,"','",6/16/2011,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Madelyn_Hilpert,"','",Oloo,"','",Recruiting Manager,"','",Jintun,"','",10/25/1955,"','",10/9/1959,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Else,"','",Feedmix,"','",Software Engineer IV,"','",Paris 17,"','",12/19/1994,"','",3/28/1941,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jennyfer_Daniel,"','",Tambee,"','",Editor,"','",Shangtian,"','",8/31/1953,"','",2/7/1939,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sophie_Glover,"','",Jayo,"','",Account Representative I,"','",Pudoc,"','",8/15/1967,"','",5/22/2000,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Blanca,"','",Dynava,"','",Web Developer III,"','",Manga,"','",4/12/1988,"','",9/21/1994,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Willow_Ziemann,"','",Innotype,"','",Nuclear Power Engineer,"','",Pakemitan,"','",8/16/2001,"','",11/11/1916,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Madisyn_Bartell,"','",Yodo,"','",Accounting Assistant III,"','",Mafeng,"','",12/7/1958,"','",8/17/1922,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Julian,"','",Youbridge,"','",Assistant Manager,"','",Ilesa,"','",10/1/1972,"','",9/12/1913,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Magali,"','",Quinu,"','",Safety Technician II,"','",Nanshan,"','",1/9/1941,"','",2/11/2001,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Maryse,"','",Flashdog,"','",Computer Systems Analyst II,"','",R S,"','",2/26/1915,"','",12/21/1910,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jeffry,"','",Linklinks,"','",Teacher,"','",Santa Cruz del Norte,"','",12/9/2001,"','",2/25/1921,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Gunnar,"','",Eadel,"','",Engineer IV,"','",Santiago dos Velhos,"','",5/31/1929,"','",5/22/1932,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Bernard,"','",Meetz,"','",Pharmacist,"','",Shuangxing,"','",12/4/1952,"','",6/22/1917,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Gustave,"','",Jabberbean,"','",Structural Analysis Engineer,"','",Jintun,"','",6/22/1974,"','",8/25/1956,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Johnathon_Fritsch,"','",Aimbu,"','",Automation Specialist I,"','",Basen,"','",9/11/1933,"','",1/28/1942,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kaley.Harber,"','",Yoveo,"','",Web Developer II,"','",Pueblo Nuevo,"','",2/23/2013,"','",6/22/1937,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lindsay.Kertzmann,"','",Gigashots,"','",Internal Auditor,"','",Siderejo,"','",4/30/1944,"','",2/10/2015,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Maximillia.Runte,"','",Mybuzz,"','",Community Outreach Specialist,"','",Cantilan,"','",8/27/1928,"','",1/9/1979,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jared_Mante,"','",Digitube,"','",Software Engineer II,"','",Castanheira,"','",1/30/1912,"','",7/28/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Billy_Veum,"','",Dabshots,"','",Product Engineer,"','",Jintun,"','",3/28/2012,"','",10/7/2006,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Clarissa,"','",Nlounge,"','",Associate Professor,"','",Abelheira,"','",5/26/1982,"','",10/23/1912,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Bruce.Christiansen,"','",Jaxworks,"','",Sales Representative,"','",Los Aquijes,"','",4/13/2004,"','",1/3/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Gabriel,"','",Realcube,"','",Geologist II,"','",Tukuyu,"','",5/25/2008,"','",10/8/2011,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Magali.King,"','",Tazz,"','",Software Consultant,"','",Jintun,"','",4/11/1911,"','",2/8/1956,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Felicity_Cummerata,"','",Roomm,"','",VP Quality Control,"','",Cintawana,"','",3/5/1966,"','",3/26/1916,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Wyatt_Tillman,"','",Mybuzz,"','",Accounting Assistant II,"','",Jintun,"','",10/25/1934,"','",5/17/1930,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lolita,"','",Reallinks,"','",Structural Analysis Engineer,"','",Zhouhe,"','",9/4/1979,"','",10/21/1915,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Brennon.Raynor,"','",Skyba,"','",Nuclear Power Engineer,"','",La Palma,"','",2/4/1921,"','",6/21/1940,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Helena,"','",Bubblemix,"','",Developer IV,"','",Zhuravka,"','",1/30/1913,"','",5/29/1945,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Oceane_Howell,"','",Dynabox,"','",Senior Sales Associate,"','",Tsimlyansk,"','",12/16/1928,"','",6/21/1914,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kraig_Corwin,"','",Janyx,"','",Software Consultant,"','",Taman,"','",8/5/1969,"','",11/15/1968,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rosalee.Huels,"','",Wordpedia,"','",Administrative Assistant I,"','",Jintun,"','",6/3/1955,"','",9/19/1999,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mittie_Pfeffer,"','",Jaloo,"','",Community Outreach Specialist,"','",Quivilla,"','",11/7/2007,"','",11/12/1964,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ewald.Zieme,"','",Eare,"','",Office Assistant I,"','",Dongbian,"','",5/21/1971,"','",9/23/1965,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Yessenia.Haag,"','",Topicshots,"','",Administrative Officer,"','",Chuzhou,"','",12/6/1959,"','",12/14/1937,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Freida.Erdman,"','",Flashpoint,"','",Research Assistant IV,"','",Palapye,"','",3/13/1936,"','",8/19/1981,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Urban.Dooley,"','",Flipstorm,"','",Marketing Manager,"','",Jintun,"','",6/13/2002,"','",12/15/1976,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Juston,"','",Fatz,"','",Structural Engineer,"','",Ojo de Agua,"','",3/18/1979,"','",2/19/1943,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Reyes,"','",Einti,"','",Tax Accountant,"','",Al Khafsah,"','",5/1/1965,"','",2/13/1994,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Dudley,"','",Midel,"','",General Manager,"','",Zhenxi,"','",4/17/1916,"','",4/16/1992,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mavis,"','",Trilia,"','",Research Associate,"','",Licheng,"','",11/5/1995,"','",9/6/1926,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rebekah,"','",Bubblemix,"','",Registered Nurse,"','",Barda,"','",8/20/1948,"','",3/2/1927,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Millie_Kirlin,"','",Eire,"','",Geological Engineer,"','",Yambio,"','",6/17/1969,"','",8/14/1982,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Casey_Streich,"','",Flipbug,"','",Legal Assistant,"','",Furmanov,"','",12/7/1968,"','",7/26/1983,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mable.Huel,"','",Oyoyo,"','",Senior Developer,"','",Barakani,"','",12/13/1997,"','",3/24/1987,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jillian,"','",Pixope,"','",Librarian,"','",Ereencav,"','",7/28/2011,"','",7/29/1950,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Zoie.Macejkovic,"','",Yotz,"','",Engineer I,"','",Ternate,"','",5/29/1970,"','",9/5/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Loy,"','",Oyope,"','",Senior Sales Associate,"','",Gebang,"','",6/30/1948,"','",11/26/1993,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Branson,"','",Leenti,"','",Senior Cost Accountant,"','",Ngangpo,"','",3/29/1952,"','",6/13/1992,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alec_Effertz,"','",Blognation,"','",Analog Circuit Design manager,"','",Beaufort,"','",10/24/1930,"','",7/22/1937,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Annette.Kozey,"','",Aibox,"','",Compensation Analyst,"','",Pueblo Viejo,"','",9/28/1977,"','",11/22/1976,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Emory_Rolfson,"','",Jabbertype,"','",Speech Pathologist,"','",Jianggu,"','",4/1/1914,"','",3/13/1961,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Summer,"','",Gigashots,"','",GIS Technical Architect,"','",Zhitan,"','",11/5/1942,"','",12/25/1979,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Genesis,"','",Jabbercube,"','",Structural Analysis Engineer,"','",Hushan,"','",7/30/1978,"','",12/22/1971,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kasey.Denesik,"','",Realfire,"','",Account Executive,"','",Akademgorodok,"','",2/3/1955,"','",11/24/2009,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Haven.Sanford,"','",Thoughtworks,"','",Safety Technician III,"','",Yangxi,"','",10/11/1976,"','",2/19/1988,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Amir_Heathcote,"','",Muxo,"','",Computer Systems Analyst IV,"','",Tsyelyakhany,"','",9/26/1953,"','",5/25/1919,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Randal_Sauer,"','",Tagfeed,"','",Account Coordinator,"','",Casa Branca,"','",11/10/1954,"','",8/24/2001,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Granville.Wolff,"','",Podcat,"','",VP Sales,"','",Cherga,"','",8/24/1947,"','",3/13/1931,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Rudolph_Lockman,"','",Aibox,"','",Sales Associate,"','",Huangshi,"','",7/28/1987,"','",8/11/1964,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Javonte.Marquardt,"','",Quatz,"','",Administrative Assistant IV,"','",Jintun,"','",2/11/2004,"','",7/8/1924,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Allan,"','",Fivechat,"','",Junior Executive,"','",Sungi Liput,"','",8/3/1973,"','",8/23/2008,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Clara,"','",Flashset,"','",GIS Technical Architect,"','",Jintun,"','",3/5/2009,"','",10/21/1923,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Layla.Kuhlman,"','",Wordtune,"','",Payment Adjustment Coordinator,"','",Zhongdong,"','",8/19/1937,"','",5/25/1988,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Flossie_Kub,"','",Jaloo,"','",Programmer Analyst IV,"','",Bafang,"','",1/30/1990,"','",9/20/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Luna_DuBuque,"','",Yodo,"','",Recruiter,"','",Jintun,"','",5/2/2007,"','",11/24/2014,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Willie,"','",Dabvine,"','",Nurse,"','",Babo-Pangulo,"','",3/12/1975,"','",3/13/1960,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Whitney,"','",Mita,"','",Nuclear Power Engineer,"','",Jintun,"','",7/18/1946,"','",12/20/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Herminia_Swaniawski,"','",Topdrive,"','",Nuclear Power Engineer,"','",Spitak,"','",5/9/1944,"','",5/10/2013,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alden,"','",Wordify,"','",Food Chemist,"','",Apopa,"','",4/2/1941,"','",8/14/1995,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cecelia_Johnston,"','",Linkbuzz,"','",Technical Writer,"','",Pudoc,"','",1/3/1955,"','",6/29/1964,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Randall_Pfeffer,"','",Vinder,"','",Environmental Specialist,"','",Diwopu,"','",11/20/1946,"','",12/17/2000,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Sasha,"','",Plambee,"','",Actuary,"','",Bordeaux,"','",10/12/1990,"','",7/6/1993,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jaylen_Heidenreich,"','",Kimia,"','",Administrative Officer,"','",Makanya,"','",9/26/1971,"','",1/30/1996,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Chadd,"','",Buzzbean,"','",Nuclear Power Engineer,"','",Shkotovo,"','",5/26/1967,"','",3/28/1967,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lauryn,"','",Voomm,"','",Account Coordinator,"','",Laironja,"','",8/8/1992,"','",3/29/1959,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Linnea_Cole,"','",Eidel,"','",Quality Control Specialist,"','",Atlasovo,"','",7/10/1915,"','",5/19/1923,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lelah_Schmeler,"','",Jazzy,"','",Food Chemist,"','",Banjar Dukuh,"','",12/14/1940,"','",11/18/1946,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Devon_Predovic,"','",Vimbo,"','",Human Resources Assistant III,"','",Little Rock,"','",7/9/1988,"','",3/8/1997,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Colt.Erdman,"','",Quatz,"','",Social Worker,"','",Little Rock,"','",2/11/1944,"','",1/25/1943,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Amalia,"','",Babblestorm,"','",Compensation Analyst,"','",Little Rock,"','",3/8/1988,"','",10/10/2006,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Eula,"','",Mynte,"','",Accounting Assistant I,"','",Little Rock,"','",6/11/1952,"','",5/27/1979,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lexus.Wunsch,"','",Devcast,"','",Business Systems Development Analyst,"','",Carrasqueira,"','",2/8/2008,"','",4/9/1948,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Elissa.Tillman,"','",Flipopia,"','",Statistician IV,"','",Shuitianzhuang,"','",4/19/2003,"','",10/26/1952,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Faustino_Quigley,"','",Oba,"','",Nurse Practicioner,"','",Labuhan,"','",8/25/2004,"','",6/25/1995,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Clemens_Zieme,"','",Wikivu,"','",Environmental Specialist,"','",Egvekinot,"','",9/16/2000,"','",11/5/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Geovanni,"','",Skyvu,"','",Staff Scientist,"','",Nyima,"','",3/6/1950,"','",2/26/2007,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Valentin,"','",Jazzy,"','",Geological Engineer,"','",Little Rock,"','",1/30/1968,"','",8/2/1935,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kellie,"','",Blogtags,"','",Senior Editor,"','",Pejibaye,"','",4/7/1916,"','",12/13/1923,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Camille.Cole,"','",Linkbuzz,"','",Sales Associate,"','",Little Rock,"','",4/10/1948,"','",4/1/1971,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Merl.Stiedemann,"','",InnoZ,"','",Structural Analysis Engineer,"','",Novoanninskiy,"','",9/15/1910,"','",5/27/1932,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Yvonne_Howell,"','",Browsetype,"','",Electrical Engineer,"','",Bureng,"','",5/20/1998,"','",6/9/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ethelyn_Gulgowski,"','",Photojam,"','",Accounting Assistant II,"','",Bureng,"','",6/14/1939,"','",9/7/1964,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cordie_Ledner,"','",Wordware,"','",Teacher,"','",Baruchowo,"','",3/9/1998,"','",9/12/1965,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cydney_Bruen,"','",Rhyzio,"','",Accounting Assistant II,"','",Harian,"','",2/17/1986,"','",5/1/1955,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Laurie,"','",Kayveo,"','",Structural Engineer,"','",Majiang,"','",1/27/1978,"','",8/7/1980,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jewel.Wintheiser,"','",Feedfire,"','",VP Marketing,"','",Pakemitan,"','",11/17/1940,"','",12/8/1984,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mariano,"','",Avamba,"','",VP Sales,"','",Xindian,"','",9/15/2001,"','",3/7/1994,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Myriam.Walter,"','",Jabbersphere,"','",Help Desk Technician,"','",Bureng,"','",10/9/1950,"','",1/12/1970,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Brigitte.Kuvalis,"','",Shuffledrive,"','",VP Marketing,"','",Giesteira,"','",4/2/1920,"','",11/26/1965,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Audra,"','",Brainsphere,"','",Librarian,"','",Santo Domingo,"','",9/21/1979,"','",2/2/1973,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Nathan_Lueilwitz,"','",Wikibox,"','",Assistant Media Planner,"','",Bureng,"','",9/10/1924,"','",12/22/1951,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Kristina_Hamill,"','",Bluezoom,"','",Business Systems Development Analyst,"','",Eg-Uur,"','",9/23/1972,"','",1/21/1959,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Marlee,"','",Realcube,"','",Civil Engineer,"','",Ta Khmau,"','",2/3/1943,"','",5/18/1931,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Torey.Shields,"','",Youbridge,"','",Community Outreach Specialist,"','",Oslo,"','",11/12/1939,"','",6/29/1995,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Barton_Hamill,"','",Mydeo,"','",Assistant Professor,"','",Bureng,"','",8/3/1977,"','",1/30/1950,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jayde.Bashirian,"','",Yodo,"','",Associate Professor,"','",Pavlovka,"','",1/29/1911,"','",11/7/1968,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Marjolaine.Lemke,"','",Skaboo,"','",Database Administrator III,"','",Massy,"','",10/28/1920,"','",1/15/1921,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Anna.Turcotte,"','",Tagopia,"','",Sales Associate,"','",Bureng,"','",4/12/1940,"','",2/28/2005,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lou,"','",Vimbo,"','",Staff Accountant II,"','",Bureng,"','",4/11/1922,"','",4/27/1973,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jean.Batz,"','",Gevee,"','",Research Nurse,"','",Kisai,"','",12/2/1918,"','",1/16/1957,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Westley.Moore,"','",Skiptube,"','",Project Manager,"','",Jejkowice,"','",10/9/1980,"','",2/17/1921,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Deonte.Pfannerstill,"','",Zoombox,"','",Legal Assistant,"','",Bureng,"','",7/4/1926,"','",2/20/1958,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Bailee,"','",Leexo,"','",VP Marketing,"','",Krasnoye,"','",4/18/2009,"','",3/27/2012,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Leonel,"','",Npath,"','",Assistant Professor,"','",Fucheng,"','",9/15/2003,"','",7/21/1979,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Elian.Gulgowski,"','",Quinu,"','",Mechanical Systems Engineer,"','",Delok,"','",7/16/1947,"','",1/19/1914,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Ernest.Wilkinson,"','",Kamba,"','",Staff Scientist,"','",Khemisset,"','",8/25/1919,"','",3/22/1912,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Zion_Nienow,"','",Devify,"','",Database Administrator I,"','",Surup,"','",9/11/1986,"','",2/9/1991,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Krystina_Koss,"','",Babbleblab,"','",Design Engineer,"','",Qingshandi,"','",6/18/1959,"','",5/26/1922,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Marquise_Quigley,"','",Feedfire,"','",VP Sales,"','",Aghavnadzor,"','",12/13/1996,"','",7/15/1973,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Alfreda.Wiza,"','",Mymm,"','",Web Developer III,"','",Macinhata da Seixa,"','",3/17/2004,"','",3/9/1999,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Birdie.Dickens,"','",Wikizz,"','",VP Marketing,"','",Viraco,"','",5/5/1939,"','",4/5/1942,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Cali_Hayes,"','",Livetube,"','",Statistician II,"','",Lyon,"','",5/17/1954,"','",5/8/1933,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Terry,"','",Yadel,"','",Geologist I,"','",Osielec,"','",9/7/1951,"','",10/1/1986,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Jacey.Breitenberg,"','",Topicshots,"','",Health Coach III,"','",Madan,"','",11/9/1931,"','",3/17/1962,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Junior_Torphy,"','",Topdrive,"','",Software Test Engineer II,"','",Banjar Taro Kelod,"','",7/1/2013,"','",5/16/1924,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Herman,"','",Yadel,"','",Accountant IV,"','",Bureng,"','",6/15/2003,"','",11/23/1927,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Lucius,"','",Tagfeed,"','",Staff Scientist,"','",Nchelenge,"','",2/5/1922,"','",2/9/1968,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Mathilde,"','",Oodoo,"','",Systems Administrator IV,"','",Geidam,"','",10/10/1964,"','",1/2/2010,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Aileen,"','",Eadel,"','",Software Engineer II,"','",Hanggan,"','",4/12/2003,"','",8/30/2001,');
"INSERT INTO WORK_EXPR(userId,company,role,location,startDate,endDate) VALUES ('",Emmanuel_Hammes,"','",Topiclounge,"','",Programmer III,"','",Hokor,"','",10/10/1947,"','",4/14/1977,');
